semaine,nb_composantes,nb_noeuds,taille_composante_geante,ratio_composante_geante
2002-02-01,7,1636,1621,0.9908312958435208
2002-02-15,5,1717,1708,0.9947582993593477
2002-03-01,2,1746,1744,0.9988545246277205
2002-03-15,5,1766,1758,0.9954699886749717
2002-03-29,14,1199,1168,0.9741451209341118
2002-04-26,41,115,19,0.16521739130434782
2002-05-10,52,180,34,0.18888888888888888
2002-05-24,3,1378,1374,0.9970972423802612
2002-06-07,2,1742,1740,0.9988518943742825
2002-06-21,3,1667,1663,0.9976004799040192
2002-08-02,57,155,26,0.16774193548387098
2002-08-16,57,165,19,0.11515151515151516
2002-08-30,1,1691,1691,1.0
2002-09-13,2,1834,1832,0.9989094874591058
2002-09-27,1,1854,1854,1.0
2002-10-11,1,1877,1877,1.0
2002-10-25,6,1593,1580,0.9918392969240427
2002-11-08,32,831,763,0.9181708784596871
2002-11-22,8,1399,1384,0.9892780557541101
2002-12-06,5,1761,1753,0.9954571266325951
2002-12-20,6,1673,1663,0.9940227136879857
