,densite
2010-01-01,270.0
2010-01-02,927.0
2010-01-03,1506.0
2010-01-04,2076.0
2010-01-05,2422.0
2010-01-06,2621.0
2010-01-07,2796.0
2010-01-08,2950.0
2010-01-09,2997.0
2010-01-10,3151.0
2010-01-11,3244.0
2010-01-12,3281.0
2010-01-13,3401.0
2010-01-14,3410.0
2010-01-15,3357.0
2010-01-16,3428.0
2010-01-17,3434.0
2010-01-18,3431.0
2010-01-19,3395.0
2010-01-20,3361.0
2010-01-21,3333.0
2010-01-22,3276.0
2010-01-23,3198.0
2010-01-24,3119.0
2010-01-25,3046.0
2010-01-26,3033.0
2010-01-27,2852.0
2010-01-28,2652.0
2010-01-29,2413.0
2010-01-30,1982.0
2010-01-31,1413.0
2010-02-01,569.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,0.0
2010-02-06,0.0
2010-02-07,0.0
2010-02-08,0.0
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,0.0
2010-02-13,0.0
2010-02-14,0.0
2010-02-15,0.0
2010-02-16,0.0
2010-02-17,0.0
2010-02-18,0.0
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,0.0
2010-02-23,0.0
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,0.0
2010-02-27,0.0
2010-02-28,0.0
2010-03-01,0.0
2010-03-02,0.0
2010-03-03,2.0
2010-03-04,3.0
2010-03-05,4.0
2010-03-06,4.0
2010-03-07,4.0
2010-03-08,5.0
2010-03-09,5.0
2010-03-10,6.0
2010-03-11,7.0
2010-03-12,7.0
2010-03-13,7.0
2010-03-14,7.0
2010-03-15,8.0
2010-03-16,8.0
2010-03-17,10.0
2010-03-18,11.0
2010-03-19,12.0
2010-03-20,13.0
2010-03-21,14.0
2010-03-22,14.0
2010-03-23,15.0
2010-03-24,15.0
2010-03-25,16.0
2010-03-26,17.0
2010-03-27,18.0
2010-03-28,18.0
2010-03-29,19.0
2010-03-30,19.0
2010-03-31,19.0
2010-04-01,511.0
2010-04-02,1275.0
2010-04-03,1922.0
2010-04-04,2245.0
2010-04-05,2467.0
2010-04-06,2759.0
2010-04-07,3023.0
2010-04-08,3182.0
2010-04-09,3244.0
2010-04-10,3356.0
2010-04-11,3321.0
2010-04-12,3422.0
2010-04-13,3505.0
2010-04-14,3564.0
2010-04-15,3607.0
2010-04-16,3640.0
2010-04-17,3696.0
2010-04-18,3615.0
2010-04-19,3694.0
2010-04-20,3690.0
2010-04-21,3694.0
2010-04-22,3705.0
2010-04-23,3733.0
2010-04-24,3751.0
2010-04-25,3689.0
2010-04-26,3774.0
2010-04-27,3748.0
2010-04-28,3700.0
2010-04-29,3780.0
2010-04-30,3704.0
2010-05-01,3684.0
2010-05-02,3587.0
2010-05-03,3748.0
2010-05-04,3761.0
2010-05-05,3748.0
2010-05-06,3795.0
2010-05-07,3802.0
2010-05-08,3747.0
2010-05-09,3757.0
2010-05-10,3844.0
2010-05-11,3869.0
2010-05-12,3821.0
2010-05-13,3832.0
2010-05-14,3809.0
2010-05-15,3815.0
2010-05-16,3803.0
2010-05-17,3818.0
2010-05-18,3791.0
2010-05-19,3741.0
2010-05-20,3797.0
2010-05-21,3815.0
2010-05-22,3760.0
2010-05-23,3757.0
2010-05-24,3774.0
2010-05-25,3842.0
2010-05-26,3821.0
2010-05-27,3825.0
2010-05-28,3795.0
2010-05-29,3767.0
2010-05-30,3753.0
2010-05-31,3848.0
2010-06-01,3835.0
2010-06-02,3793.0
2010-06-03,3848.0
2010-06-04,3831.0
2010-06-05,3869.0
2010-06-06,3811.0
2010-06-07,3825.0
2010-06-08,3904.0
2010-06-09,3870.0
2010-06-10,3920.0
2010-06-11,3884.0
2010-06-12,3812.0
2010-06-13,3867.0
2010-06-14,3899.0
2010-06-15,3955.0
2010-06-16,3940.0
2010-06-17,3960.0
2010-06-18,3978.0
2010-06-19,4003.0
2010-06-20,3968.0
2010-06-21,3981.0
2010-06-22,3993.0
2010-06-23,3976.0
2010-06-24,4008.0
2010-06-25,4008.0
2010-06-26,4019.0
2010-06-27,3975.0
2010-06-28,3971.0
2010-06-29,3996.0
2010-06-30,3937.0
2010-07-01,3920.0
2010-07-02,3877.0
2010-07-03,3893.0
2010-07-04,3921.0
2010-07-05,3948.0
2010-07-06,3946.0
2010-07-07,3958.0
2010-07-08,4032.0
2010-07-09,4057.0
2010-07-10,4009.0
2010-07-11,3917.0
2010-07-12,3918.0
2010-07-13,4048.0
2010-07-14,3975.0
2010-07-15,3923.0
2010-07-16,3931.0
2010-07-17,3747.0
2010-07-18,3783.0
2010-07-19,3844.0
2010-07-20,3789.0
2010-07-21,3730.0
2010-07-22,3736.0
2010-07-23,3675.0
2010-07-24,3596.0
2010-07-25,3502.0
2010-07-26,3439.0
2010-07-27,3286.0
2010-07-28,3062.0
2010-07-29,2792.0
2010-07-30,2247.0
2010-07-31,1526.0
2010-08-01,490.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.0
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,0.0
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-28,0.0
2010-08-29,0.0
2010-08-30,0.0
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,2.0
2010-09-05,4.0
2010-09-06,6.0
2010-09-07,8.0
2010-09-08,10.0
2010-09-09,10.0
2010-09-10,11.0
2010-09-11,11.0
2010-09-12,11.0
2010-09-13,12.0
2010-09-14,12.0
2010-09-15,12.0
2010-09-16,13.0
2010-09-17,13.0
2010-09-18,14.0
2010-09-19,14.0
2010-09-20,15.0
2010-09-21,15.0
2010-09-22,17.0
2010-09-23,17.0
2010-09-24,17.0
2010-09-25,18.0
2010-09-26,19.0
2010-09-27,20.0
2010-09-28,20.0
2010-09-29,20.0
2010-09-30,20.0
2010-10-01,553.0
2010-10-02,1458.0
2010-10-03,2059.0
2010-10-04,2559.0
2010-10-05,2924.0
2010-10-06,3144.0
2010-10-07,3264.0
2010-10-08,3491.0
2010-10-09,3620.0
2010-10-10,3764.0
2010-10-11,3853.0
2010-10-12,3960.0
2010-10-13,3978.0
2010-10-14,4092.0
2010-10-15,4150.0
2010-10-16,4116.0
